Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
295,7.534678817,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,0.0,7.4582687939055115
296,7.84920185,0.6876902078503937,1.1102230246251565e-16,0.0,0.0,0.0,0.0,7.161511642149606
297,8.078327333,3.514861062346457,0.0,0.0,0.0,0.0,0.0,4.563466270653544
298,8.6501152,5.95998180137008,0.0,0.0,0.0,0.0,0.0,2.6901333986299205
299,8.32087545,7.730147336392388,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.5907281136076126
300,8.833271283,8.812622663564305,0.0,0.0,0.0,0.0,0.0,0.02064861943569518
301,8.94956285,8.94956285,0.34698995982939707,0.0,0.0,0.0,0.0,0.0
302,9.154452083,9.154452083,0.0656907037349086,0.0,0.0,0.0,0.0,0.0
303,8.49226145,8.49226145,0.09113114428084046,0.0,0.0,0.0,0.0,0.0
304,8.082366567,7.373567228618111,0.0,0.0,0.0,0.0,0.0,0.7087993383818887
305,7.858094867,5.5651966820485566,0.0,0.0,0.0,0.0,0.0,2.2928981849514436
306,8.205612283,3.2474259815157485,0.0,0.0,0.0,0.0,0.0,4.958186301484252
307,12.36093235,0.8532452578884516,0.0,0.0,0.0,0.0,0.0,11.50768709211155
